migration_name,matched_stock_item,score
"AD8C Axient® Digital PSM 8-Port Antenna Combiner","Shure AD8C Axient Digital PSM 8-Port Antenna Combiner","0.90"
"SHURE ADTQ G56(470-636)ADTQ Axient® Digital PSM Wireless Quad Transmitter","Shure ADTQ Axient Digital PSM Wireless Quad Transmitter","0.90"
"Behringer Powerplay HA6000 6-channel","Behringer HA6000","0.90"
"SHURE AD2/SM58=G56(470-636 MHz)","Shure SM58","0.90"
"RF Venue CP Beam Antenna","RF Venue CP Beam Antenna","1.00"
"SHURE AD 1 Bodypack Transmitter","Shure AD1 Bodypack Transmitter","0.97"
"dbx RTA-M MEASUREMENT MICA","dbx RTA-M","0.90"
"Shure KSM9 สีดำ","Shure KSM9","0.90"
"Shure KSM8 สีเงิน","Shure KSM8 Black","0.88"
"Shure KSM8 สีดำ","Shure KSM8 Black","0.88"
"Shure KSM9 สีแชมเปญ","Shure KSM9","0.90"
"HA-8089 Helical Antenna","Shure HA-8089 Helical Antenna","0.90"
"SHURE WL93T Miniature Lavalier mic","Shure WL93T","0.90"
"SHURE WL93 Miniature Lavalier mic","Shure WL93","0.90"
"SHURE WL50","Shure WL50","1.00"
"Shure Beta53","Shure Beta53","1.00"
"SHURE PGA31-TQG Headset Condenser Microphone","Shure PGA31","0.90"
"SHURE SM35 Performance headset condenser microphone","Shure SM35","0.90"
"Shure TwinPlex TH53C/O-MTQG Omnidirectional Headset","Shure TwinPlex TH53C/O-MTQG","0.90"
"DPA 4066-OC-A-FOO-LH","DPA 4066","0.90"
"SHURE DPA 4061","DPA 4061","0.90"
"DPA-4099-DC-2-199-T","DPA 4099 DC-2-199-T","1.00"
"DPA-4099-DC-2-201-D","DPA 4099 DC-2-201-D","1.00"
"CO-3-SH-BE","Point Source Audio CO-3-SH-BE","0.90"
"CO-6-KlT-SH-BE","Point Source Audio CO-6-KlT-SH-BE","0.90"
"CO-8WD-XSH-BE","Point Source Audio CO-8WD-XSH-BE","0.90"
"CO-8WL-XSH-BE","Point Source Audio CO-8WL-XSH-BE","0.90"
"CO-8WL-XSH-BL","Point Source Audio CO-8WL-XSH-BL","0.90"
"EMB-12-BE","Point Source Audio EMB-12-BE","0.90"
"EMB-CAP-BE","Point Source Audio EMB-CAP-BE","0.90"
"GO2-9WL-SH-BE","Point Source Audio GO2-9WLP-SH-BE","0.88"
"GO2-9WD-SH-BE","Point Source Audio GO2-9WLP-SH-BE","0.88"
"GO-9WD-SH-BE","Point Source Audio GO-9WD-SH-BE","0.90"
"GO-9WL-SH-BE","Point Source Audio GO-9WL-SH-BE","0.90"
"Audix D6 Cardioid Dynamic Kick Drum Microphone Sweetwater","Audix D6","0.90"
"Sennheiser MD 421-II","Sennheiser MD 421-II","1.00"
"AUDIO TECHNICA AE3000","Audio Technica AE3000","1.00"
"AUDIO TECHNICA","Audio Technica AT4033","0.90"
"ATM25/LE","Audio Technica ATM25/LE","0.90"
"Audio Technica AE2500=1ตัว","Audio Technica AE2500","0.90"
"AKG 414 XLII","AKG C414 XLII","0.92"
"AKG C414 XLS","AKG C414 XLS","1.00"
"PGA52","Shure PGA52","0.88"
"PGA56","Shure PGA56","0.88"
"PGA57","Shure PGA57","0.88"
"PGA81","Shure PGA81","0.88"
"M82","Telefunken M82","0.88"
"M60","Telefunken M60","0.88"
"SENNHEISER e901 (ใหม่)","Sennheiser e901","1.00"
"AKG D112","AKG D112","1.00"
"SHURE sm81","Shure SM81","1.00"
"SHURE sm58 สวิสต์","Shure SM58","0.90"
"SHURE sm58","Shure SM58","1.00"
"AKG C480B","AKG C480B","1.00"
"SHURE sm57","Shure SM57","1.00"
"BETA87","Shure Beta87","0.88"
"SHURE Shotgun SM89","Shure SM89","0.90"
"SHURE BATA58A","Shure Beta58A","0.92"
"Shure PGA98H + pre mic","Shure PGA98H","0.90"
"Shure PGA98H","Shure PGA98H","1.00"
"Shure BETA 98H","Shure Beta98H","0.93"
"AKG C419 III","AKG C419 III","1.00"
"Electro voice RE20","Electro-Voice RE20","1.00"
"SHURE 55SH","Shure 55H","0.90"
"LEWITT MTP 250 DM","Lewitt MTP 250 DM","1.00"
"Sennheiser e835s","Sennheiser E835s","1.00"
"Sennheiser e904","Sennheiser e904","1.00"
"Senheiser e609","Sennheiser e609","0.93"
"SENNHEISER e604","Sennheiser e604","1.00"
"VL AUDIO ISO LATE","VL Audio Isolate","0.94"
"BSS AR-133-Active DI","BSS AR-133-Active","0.90"
"BSS AR-133-Active DI[ใหม่]","BSS AR-133-Active","0.90"
"Radial J48 1-channel Active 48v Direct Box","Radial - J48 Active","0.90"
"Radial - JDI - Passive Direct Box","Radial - JDI Passive","0.90"
"EMO 335 6 CH.MICROPHONE SPLITER","EMO 335","0.90"
"EMO 370","EMO 370","1.00"
"Headphone Apm Samson QH4","Samson QH4","0.90"
"STEREO HEADPNONE APM","Stereo Headphone APM","0.95"
"SAMSON S-plot","Samson S-plot","1.00"
"BOSS DI-1","BOSS DI-1 Active","0.90"
"IMP SPLITTER 1x2","Whirlwind IMP Splitter 1x2","0.90"
"AT-1 Portable Audio Tester","AT-1 Portable Audio Tester","1.00"
"Rechargeable Lithium-Ion Battery","Shure SB900B Rechargeable Lithium-Ion Battery","0.90"
"SENNHEISER L60","Sennheiser e604","0.87"
"MC4 NLT4 F/M 25m(mocami4x4)","Z5340 MC4 Cable NLT4 F/M  25m.","0.90"
"MC4 NLT4 F/M 20m.","Z5340 MC4 Cable NLT4 F/M  20m.","0.90"
"MC24 LKA25 F/M Multicore24","MC24 LKA25 F/M Multicore24     30m.","0.90"
"XLR 1 m.","XLR 1.5 M.","0.90"
"Adapter NLT8F 2-way to 2xNLT4M","Adapter NLT8F 2-way to 2xNLT4M  (5M.)","1.00"
"Adapter NLT8F to 4xNLT2M","Adapter NLT8F to 4xNLT4M","0.96"
"NL2. link สั้น","NL2 link. 2m.","0.88"
"NL4. 30m.","NL4  2.5x4 30M.","0.90"
"NL4. 20m.","NL4  2 Way NL2 20M.","0.90"
"NL4. 25m.","NL4  2.5X4  25M.","0.90"
"NL4. 12m.","NL4  2.5X4  12M.","0.90"
"NL4. 3.50m.","NL4 2.5X4  3.50M.","0.90"
"NL4. No.1.5x4","NL4  1.5X4  20M.","0.88"
"NL4 22m.","NL4  White 22M.","0.90"
"NL4. 21m.","NL4  White 21M.","0.90"
"NL4. 24m.","NL4  White 24M.","0.90"
"NL4. 10m.","NL4  White 10M.","0.90"
"NL4. 16m.","NL4  White 16M.","0.90"
"NL4. 4m.","NL4  White 4M.","0.90"
"NL4. 6m.","NL4  White 6M.","0.90"
"NL4. 8m.","NL4  White 8M.","0.90"
"NL8 1m.#JBL","NL8  link 1m.#JBL","0.90"
"3.1m","32A. Connector/3 Phase 1m.","0.90"
"NL2 35m.","NL2 White 35m.","0.90"
"NL2 10m.","NL2 White 10m.","0.90"
"NL2. 50m.","NL2 White 50m.","0.90"
"NL2. 5m.","NL2 White 5m.","0.90"
"NL2. 15m. ใช้งานติดตั้งห้องDomo","NL2.Black 15m.","0.88"
"NL2. 21m.","NL2 White 21m.","0.90"
"NL2 23m.","NL2 White 23m.","0.90"
"NL2. 35m.","NL2 White 35m.","0.90"
"NL2. 24m.","NL2 White 24m.","0.90"
"NL2. 37m.","NL2 White 37m.","0.90"
"NL2. 22m.","NL2 White 22m.","0.90"
"NL2. 13m.","NL2 White 13m.","0.90"
"NL2. 15m.(สีดำ)","NL2.Black 15m.","0.90"
"NL2. 10m.(สีดำ)","NL2 White 10m.","0.90"
"NL2 23m.(สีดำ)","NL2 White 23m.","0.90"
"NL2. 8m.(สีดำ)","NL2.Black 8m.","0.90"
"NL2 20m.(สีดำ)","NL4  2 Way NL2 20M.","0.90"
"NL2. 5m.(สีดำ)","NL2 White 5m.","0.90"
"16""+16"" 20m.","ฺPlug Box 20m. No.14/16","0.90"
"Cable (Powercon)5 m.","CABLE SVK100PIN M40X1.5-XLR 32 CORE 5 M. (สายถัก)","0.90"
"รุ่น XLR 5m. (ลงแล้ว) XLR 5m. (ลงแล้ว) XLR 7.5m. (ลงแล้ว) XLR 10 m. (ลงแล้ว) XLR 20 m. (ลงแล้ว) XLR 50m. (ลงแล้ว) XLR 40m. (ลงแล้ว) XLR 1m. (ลงแล้ว) XLR 0.5 m. (ลงแล้ว) XLR 0.4 m. (ลงแล้ว) XLR 1.5 m (ลงแล้ว) XLR 2 m. (ลงแล้ว) XLR 3 m. (ลงแล้ว) XLR Amphenol ยาว 30m. XLR Amphenol ยาว 10 m. ลงแล้ว XLR 5m. โมกามิ สีเขียว (ลงแล้ว) XLR 5m. โมกามิ สีแดง (ลงแล้ว) สายสัญญาณมิดี้ Midi Cable KIRLIN 3 m. 6 m. แจ็คGTR+เพิ่มหัวงอ 8 เส้น TS แจ๊ค 1/4"" 2 คอ สายถัถสีเขียว","XLR 50m.","0.90"
"trs to xlr เมีย 1.5 m : 3 เส้น","XLR 1.5 M.","0.90"
"trs to xlr เมีย 2 m : 2 เส้น","XLR 2 M.","0.90"
"trs to xlr เมีย 1 m : 2 เส้น","XLR 2 M.","0.90"
"trs to xlr ผู้ 1 m : 2 เส้น","XLR 2 M.","0.90"
"trs to xlr ผู้ 1.5 m : 3 เส้น","XLR 1.5 M.","0.90"
"trs to xlr ผู้ 2 m : 2 เส้น","XLR 2 M.","0.90"
"xlr เมีย to xlr เมีย 1.5 m : 2 เส้น","XLR 1.5 M.","0.90"
"10m.","XLR 10m.","0.88"
"3.5 ผู้ เมีย 5m. 10เส้น / สายเปิดเพลง แจ๊ค3.5 to Y. XLR. 10 เส้น","XLR 5m.","0.90"
"DE25 AES 4 m.","CABLE DE25 AES 4 m.","0.90"
"RCA+XLR","RCA TO XLR","0.90"
"L-Acoustics SB18","L-Acoustics SB18","1.00"
"""KRK VXT4 - 45W 4""","KRK VXT4","0.90"
"Behringer B105D (15/08/68)","Behringer B105D","1.00"
"Behringer B105D(เดิม","Behringer B105D","0.90"
"Behringer B205D Ultra-Compact 150W PA/Monitor Speaker System","Behringer B205D","0.90"
"Clair Brothers 12AM-L HP 12"" Active Stage Monitor","Clair Brothers 12AM","0.90"
"VTX series S28","JBL VTX S28","0.88"
"JBL EON ONE MK2","JBL EON ONE MK2","1.00"
"JBL VTX S28","JBL VTX S28","1.00"
